epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4303,1.09726,5.62191,2.79519,1.40678,0.00286,0.85714,0.11199,0.02332,0.00048,0.14286,0.00061,6e-05,2.8853,7.88381,4.639,3.23045,2e-05,2e-05,2e-05
2,27.3264,0.97913,4.90543,2.73773,1.34085,0.00333,1,0.4775,0.15356,0.00286,0.85714,0.25666,0.1047,1.29914,3.2371,3.65712,2.03914,5.9406e-05,5.9406e-05,5.9406e-05
3,39.1151,0.76686,2.01164,2.68411,1.13092,0.00333,1,0.39099,0.21608,0.00286,0.85714,0.30195,0.1793,0.91182,2.64014,3.35755,1.66064,9.802e-05,9.802e-05,9.802e-05
4,50.4248,0.65251,1.48615,2.62453,1.16285,0.00333,1,0.73925,0.59065,0.00333,1,0.73925,0.53674,0.60979,1.65671,3.2454,1.35005,0.000135842,0.000135842,0.000135842
5,68.4348,0.42583,0.84864,2.40729,0.9934,0.00333,1,0.995,0.7655,0.00333,1,0.995,0.83132,0.49609,1.21629,3.15708,1.29522,0.000172872,0.000172872,0.000172872
6,78.246,0.45857,0.79181,2.39371,0.96342,0.00333,1,0.995,0.69136,0.00333,1,0.995,0.85497,0.46338,0.99359,3.17331,1.15249,0.00020911,0.00020911,0.00020911
7,87.7102,0.48548,0.76524,2.2434,1.03078,0.00333,1,0.995,0.72758,0.00333,1,0.995,0.82993,0.4839,1.28338,3.14481,1.09315,0.000244556,0.000244556,0.000244556
8,98.5536,0.47427,0.6891,2.06234,1.02534,0.00333,1,0.96,0.65282,0.00333,1,0.96,0.7501,0.50675,1.5541,3.17079,1.14116,0.00027921,0.00027921,0.00027921
9,109.778,0.5787,0.72898,2.07084,1.10326,0.00333,1,0.96,0.66683,0.00333,1,0.96,0.6989,0.58183,1.84618,3.19329,1.26553,0.000313072,0.000313072,0.000313072
10,119.581,0.42853,0.53042,1.76301,0.91137,0.00333,1,0.9775,0.68456,0.00333,1,0.9775,0.65796,0.52303,1.70807,3.15265,1.33048,0.000346142,0.000346142,0.000346142
11,129.036,0.41165,0.33081,1.76266,0.94701,0.00333,1,0.96389,0.75414,0.00333,1,0.96389,0.64703,0.44514,1.78514,3.1591,1.16866,0.00037842,0.00037842,0.00037842
12,138.679,0.65602,0.65227,1.86087,1.03267,0.00333,1,0.89667,0.62856,0.00333,1,0.89667,0.6271,0.62313,1.77521,3.18782,1.22468,0.000409906,0.000409906,0.000409906
13,148.696,0.49362,0.57383,1.55741,0.99646,0.00333,1,0.86896,0.64559,0.00333,1,0.86896,0.60461,0.65696,1.81085,3.23452,1.28795,0.0004406,0.0004406,0.0004406
14,158.363,0.59465,0.68104,1.65588,0.991,0.00333,1,0.85033,0.65001,0.00333,1,0.85033,0.65913,0.70038,1.233,3.22928,1.25872,0.000470502,0.000470502,0.000470502
15,167.902,0.74671,0.5826,1.56825,1.18859,0.00333,1,0.92033,0.65662,0.00333,1,0.92033,0.62692,0.65745,0.92869,3.18904,1.24736,0.000499612,0.000499612,0.000499612
16,177.248,0.53178,0.53251,1.35829,1.00135,0.00333,1,0.90944,0.72818,0.00333,1,0.90944,0.76566,0.59015,0.98244,3.21472,1.1782,0.00052793,0.00052793,0.00052793
17,186.507,0.75507,0.38096,1.35767,1.06888,0.00333,1,0.855,0.70043,0.00333,1,0.855,0.77043,0.60339,0.79974,3.19283,1.17899,0.000555456,0.000555456,0.000555456
18,196.19,0.58714,0.51611,1.18594,0.98335,0.00333,1,0.81767,0.64778,0.00333,1,0.81767,0.69589,0.576,0.93041,3.27136,1.14792,0.00058219,0.00058219,0.00058219
19,205.612,0.52808,0.42768,1.14109,0.98248,0.51681,0.71429,0.68157,0.59342,0.51681,0.71429,0.62252,0.58581,0.59856,1.3759,3.152,1.14671,0.000608132,0.000608132,0.000608132
20,215.022,0.49703,0.47148,1.14569,0.97572,1,0.26544,0.70452,0.59443,1,0.26544,0.67563,0.5829,0.59406,1.44321,3.08178,1.1723,0.000633282,0.000633282,0.000633282
21,225.267,0.705,0.63727,1.18224,1.14034,1,0.2606,0.90409,0.68517,1,0.2606,0.90409,0.73162,0.63135,1.18703,3.03984,1.28598,0.00065764,0.00065764,0.00065764
22,235.907,0.5179,0.39332,0.99577,0.94719,0.75643,0.71429,0.84167,0.4715,0.75643,0.71429,0.84167,0.6404,0.83246,1.22424,3.39477,1.6238,0.000681206,0.000681206,0.000681206
23,246.052,0.47115,0.42437,1.03374,0.8988,1,0.28255,0.69671,0.34801,1,0.28255,0.73088,0.51283,1.01056,1.38692,3.42851,1.82095,0.00070398,0.00070398,0.00070398
24,255.712,0.65104,0.50868,1.07159,1.02305,1,0.3429,0.67146,0.37054,1,0.3429,0.6859,0.49862,1.09524,1.67058,3.37564,1.9575,0.000725962,0.000725962,0.000725962
25,265.404,0.47083,0.41686,0.91293,0.93351,1,0.28505,0.71513,0.52063,1,0.28505,0.71575,0.52971,1.12839,2.37766,3.27493,1.83449,0.000747152,0.000747152,0.000747152
26,275.295,0.64065,0.69781,1.09429,0.996,0.39733,0.71429,0.66751,0.45715,0.39733,0.71429,0.67638,0.50913,1.22985,2.692,3.42302,1.96995,0.00076755,0.00076755,0.00076755
27,285.493,0.67999,0.79868,1.16658,1.01785,0.66642,0.5709,0.71317,0.4897,0.66642,0.5709,0.71655,0.52068,0.92748,2.28324,3.34066,1.6139,0.000787156,0.000787156,0.000787156
